Lane 0,Lane 1,Lane 2,Lane 3
-2.9003655266412633,-1.2942024207014187,-2.4945256322287523,-1.634920121963321
-12.045106211599496,-11.912980390341911,-11.442159793043817,-17.693343511792946
-4.511024780311278,-5.013066935545339,-4.995438384284723,-5.5706531832300445
-19.873784216536603,-17.509373519773195,-13.41986554784074,-19.300409292829944
0.0,0.0,0.0,0.0
-4.65408048077332,-5.09772915836365,-2.800633512263554,-4.109513121785845
0.0,0.0,0.0,0.0
-15.68415321695564,-15.76091016246211,-15.747004674075875,-19.249627958056834
-8.01204253399198,-11.845116802423549,-14.00695548578859,-17.75604017309993
-11.351460525781631,-13.833648983970484,-15.12307170738806,-18.95108364699818
-13.04122454361718,-12.951033085600436,-12.908558510159665,-12.834410947128116
-20.409853637835873,-16.62129555556731,-15.263316096411412,-19.47854695242025
-12.392846543427867,-12.53905912296418,-14.765043839589513,-19.212541640457392
-6.496831080940078,-5.679026598207233,-5.631373818852726,-4.698452505553082
0.0,-1.09231019240853,0.0,0.0
-15.555547469312796,-15.597383466692781,-15.40074561817411,-21.584869487352872
-13.66283890039012,-11.582120504739816,-17.530526777515004,-20.10187587530341
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-15.72085244241033,-15.741235175402696,-15.579038697098301,-21.912202302446033
-10.33064104951693,-9.204053178541226,-9.741718521760653,-13.060003951771964
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-12.380440018319751,-10.413409942801515,-15.061239641698162,-17.915709894109195
-15.73978880295273,-11.99037867637153,-15.125610328477235,-18.825804243408026
-10.101405858121561,-9.253675481756797,-10.440549969657958,-10.83652734715944
-20.26263392148512,-18.354142400354387,-15.80894758938421,-23.46628795200761
-14.257050281217634,-14.60655611394977,-14.596810556592624,-17.839660706605695
-4.032005705469918,-1.9969533226510672,-2.8792558890753592,-2.237189063514508
0.0,0.0,0.0,0.0
-15.38787369536947,-15.439604208702248,-17.609311956561832,-20.565492583522953
-13.626600845575739,-12.337044224900502,-11.711537767139115,-16.465228679125435
0.0,0.0,-0.7000000000000001,0.0
0.0,0.0,0.0,0.0
-15.140023020193814,-15.152385502855756,-15.109118714569236,-20.638974749903827
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-11.097687761791144,-10.413167631281452,-9.881039938742978,-10.455993946535624
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-22.147168522881618,-20.704629064529712,-16.98800337866031,-22.596863434744773
-5.167540797048011,-5.329861932279588,-3.7287673710949734,-5.442939642750099
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-22.416300838174287,-21.620800858978885,-18.564947209907288,-24.44420953031514
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-23.27741321417717,-22.838839053345264,-20.1442702227609,-26.844393368745582
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-29.15732062796917,-26.742807750610428,-24.28370574562383,-28.35192750075978
